"Record ID","Catalog Number","Match Taxon Concept GUID","Scientific Name","Vernacular Name","Matched Scientific Name","Taxon Rank - matched","Vernacular Name - matched","Kingdom - matched","Phylum - matched","Class - matched","Order - matched","Family - matched","Genus - matched","Species - matched","Subspecies - matched","Institution Code","Collection Code","locality","Latitude - original","Longitude - original","geodetic Datum","Latitude - processed","Longitude - processed","Coordinate Uncertainty in Metres - parsed","Country - parsed","Collector","Year - parsed","Month - parsed","Event Date - parsed","Basis Of Record - original","Basis Of Record - processed","Sex","Taxon identification issue","Location Quality","ROW _ i","Data Resource ID","Data Resource Name","Water Observations From Space","Aridity index - annual mean","Distance - to any water (weighted)","2030A1BMk35M: Water potential - annual mean","Moisture - average","Moisture - variability","Occurrence status assumed to be present","Geodetic datum assumed WGS84","Name not recognised"
"9135adf8-3ec1-4ca1-b0bc-82c65aff6651","","","","","","","","","","","","","","","","","","","-38.109571","141.136619","","-38.109571","141.136619","","","","","","","","","","","true","775","drt19609","","0.0","1.0518296","0.036055513","-0.8159471","","","true","true","true"
"91396022-ae31-41bb-b68b-d29f8661c2a8","","","","","","","","","","","","","","","","","","","-36.83668002","141.158934","","-36.83668002","141.158934","","","","","","","","","","","true","129","drt19609","","59.349594","0.6994818","0.0","-1.0865369","46.0","6.0","true","true","true"
"914f15b6-c91c-48f9-937f-b11f929f2be2","","","","","","","","","","","","","","","","","","","-37.90057302","147.494421","","-37.90057302","147.494421","","","","","","","","","","","true","837","drt19609","","0.0","0.747773","0.094868325","-1.3275278","51.0","6.0","true","true","true"
"91511875-105e-4ecb-88a7-dc40cd564da8","","","","","","","","","","","","","","","","","","","-36.03214002","144.571241","","-36.03214002","144.571241","","","","","","","","","","","true","1038","drt19609","","0.64935064","0.4170376","0.01","-1.4556811","43.0","8.0","true","true","true"
"9153e331-8580-46c6-a82a-24eb116d9f8c","","","","","","","","","","","","","","","","","","","-35.93968101","144.989039","","-35.93968101","144.989039","","","","","","","","","","","true","1090","drt19609","","33.75796","0.41540533","0.0","-1.4509686","43.0","7.0","true","true","true"
"9157fced-0dc4-44d9-bb2f-6eaeaea95489","","","","","","","","","","","","","","","","","","","-37.48158298","142.787095","","-37.48158298","142.787095","","","","","","","","","","","true","164","drt19609","","50.724636","0.6793749","0.0","-1.1239115","48.0","6.0","true","true","true"
"91b2f739-ffbf-4575-b918-0e75dd757ad8","","","","","","","","","","","","","","","","","","","-37.81865601","143.748368","","-37.81865601","143.748368","","","","","","","","","","","true","392","drt19609","","0.0","0.8801294","0.0","-0.93279034","53.0","6.0","true","true","true"
"91cb65db-9b62-41f1-ba91-1a1f41569c60","","","","","","","","","","","","","","","","","","","-36.15945904","146.316141","","-36.15945904","146.316141","","","","","","","","","","","true","71","drt19609","","1.6260163","0.6575401","0.0","-1.0917825","46.0","9.0","true","true","true"
"91cd91c5-4a1b-417a-8faa-69551fcce9d9","","","","","","","","","","","","","","","","","","","-36.09517797","146.2008","","-36.09517797","146.2008","","","","","","","","","","","true","964","drt19609","","3.7190082","0.6080298","0.0","-1.2252936","46.0","8.0","true","true","true"
"91ec7193-33c7-4197-9eac-72fdd7bef837","","","","","","","","","","","","","","","","","","","-36.64455699","142.352249","","-36.64455699","142.352249","","","","","","","","","","","true","365","drt19609","","9.444445","0.48037753","0.031622775","-1.2680895","44.0","6.0","true","true","true"
