LAB_SAMPLE_ID,DATASET,TC,TN,OC,IC
VW0158,Survey,7.92367327,0.246674632,3.805975694,
VW0159,Survey,2.557232748,0.267214247,3.79413131,1.572184961
VW0160,Survey,9.844012925,0.872360857,11.64132092,4.154059499
VW0161,Survey,3.129318544,0.178799416,1.560108416,3.195013252
VW0162,Survey,22.76103835,2.008572052,17.09863023,4.589247916
VW0163,Survey,6.761258459,0.724992987,6.161465773,1.099218046
VW0164,Survey,1.509199965,0.556887719,4.838442525,0.460603285
VW0165,Survey,4.324657136,0.50263761,3.785483879,2.011608929
VW0166,Survey,24.57984033,2.327507231,18.56450791,3.722194631
VW0167,Survey,11.17708654,1.079620746,8.291318686,2.926843483
VW0168,Survey,5.208820257,0.590184401,3.438550875,2.380639157
VW0169,Survey,5.638601681,0.468237476,3.031220282,3.670048253
VW0170,Survey,1.17864895,0.345663449,4.676479775,
VW0171,Survey,0.167721947,0.113564417,2.779185734,
VW0172,Survey,0,0,0,0
VW0173,Survey,0,0.070267353,0,0
VW0174,Survey,0,0.029007165,0,0
VW0175,Survey,0.007216173,0.039177948,0,0
VW0176,Survey,0,0,0,0
VW0177,Survey,0,0.000474182,0,0
VW0178,Survey,1.010636132,0.320362452,4.312329858,
VW0179,Survey,0,0.02250009,0.034980333,
VW0180,Survey,0,0.01511235,0,0
VW0181,Survey,0,0,0.145320607,
VW0182,Survey,0.373417178,0.183230997,2.384223193,
VW0183,Survey,0.310744482,0.189530929,0.161880131,
VW0184,Survey,55.37953888,4.09001682,53.25321435,
VW0185,Survey,6.521087464,0.887993744,10.96805236,
VW0186,Survey,1.968703641,0.362655921,4.843423805,
VW0187,Survey,1.614581918,0.297246093,3.260223861,
VW0188,Survey,23.15052263,2.017098701,27.81084641,
VW0189,Survey,3.41683025,0.494468722,6.480104816,
VW0190,Survey,3.857728092,0.468308644,6.224266543,
VW0191,Survey,2.771475801,0.368072392,5.831674393,
VW0192,Survey,15.0154545,1.425667044,21.51246325,
VW0193,Survey,4.162101855,0.59430192,10.0056318,
VW0194,Survey,5.907787193,0.67622482,9.829052657,
VW0195,Survey,7.973106622,0.571189804,9.406231374,
VW0196,Survey,13.08436734,1.205000176,15.83716045,
VW0197,Survey,3.761283996,0.301876841,1.189674481,3.134578185
VW0198,Survey,4.793214014,0.134063186,1.158850097,7.640613676
VW0199,Survey,10.8003198,1.243075594,18.50935506,
VW0200,Survey,20.4790913,2.010942378,24.05976076,
VW0201,Survey,15.77958041,1.416678399,13.72292017,3.611166694
VW0202,Survey,14.52548936,0.678279569,6.477233692,2.150414012
VW0203,Survey,17.23903757,0.42248752,4.175540775,21.92621831
VW0204,Survey,9.020862076,1.15051581,11.81272841,
VW0205,Survey,5.597170516,0.814777745,10.97086095,
VW0206,Survey,16.48976366,1.529600033,21.3375999,
VW0207,Survey,9.053033898,0.425761731,10.04058998,
VW0208,Survey,19.81856776,1.645029413,25.20156465,
VW0209,Survey,6.462038539,0.81641471,9.728154762,
VW0210,Survey,48.8872809,3.71836403,58.5456818,
