SAMPLE_ID,CORE_LABEL,CORE_NO,UPPER_SAMPLE_DEPTH,LOWER_SAMPLE_DEPTH,CORE_LENGTH,HEIGHT_IN,HEIGHT_OUT,COMPACTION_FACTOR,CONTAINER_WEIGHT,SAMPLE_CONTAINER_DRYWEIGHT,NOTES2
120,KING,1,14,16,120,69,57.5,,12.9358,73.94,
121,KING,1,28,30,120,69,57.5,,12.7008,82.7239,
122,KING,1,48,50,120,69,57.5,,12.7573,79.4787,
123,KING,2,0,2,120,77,66.5,,12.6928,31.6182,
124,KING,2,14,16,120,77,66.5,,12.6973,56.2319,
125,KING,2,28,30,120,77,66.5,,12.9202,85.6334,
126,KING,3,0,2,120,77,70,,12.7698,27.2286,
127,KING,3,14,16,120,77,70,,12.906,79.0976,
128,KING,3,28,30,120,77,70,,12.8101,79.3898,
129,COWA,1,0,2,120,65,60,,13.1663,53.0242,
130,COWA,1,14,16,120,65,60,,13.044,77.9838,
131,COWA,1,28,30,120,65,60,,12.8485,74.5843,
132,COWA,1,48,50,120,65,60,,13.0279,74.5581,
133,COWA,4,0,2,120,79,69,,12.9439,35.6378,
134,COWA,4,14,16,120,79,69,,12.8436,83.706,NO LAB DATA
135,COWA,4,28,30,120,79,69,,13.1383,64.0084,
136,COWA,5,0,2,120,79,70,,12.8493,46.4425,
137,COWA,5,14,16,120,79,70,,13.2074,72.3616,
138,COWA,5,28,30,120,79,70,,13.029,78.4895,
139,WOOL,2,0,2,120,43,19,,12.771,23.2224,
140,WOOL,2,14,16,120,43,19,,13.0354,48.8376,
141,WOOL,2,28,30,120,43,19,,13.1947,71.6074,
142,WOOL,2,48,50,120,43,19,,12.8823,67.0727,
143,WOOL,2,74,76,120,43,19,,12.91,68.9087,
144,WOOL,3,0,2,120,40,22,,13.1611,20.3452,
145,WOOL,3,14,16,120,40,22,,13.3307,51.6734,
146,WOOL,3,28,30,120,40,22,,13.1708,76.5368,
147,WOOL,3,48,50,120,40,22,,13.1195,76.5443,
148,WOOL,3,74,76,120,40,22,,13.1513,69.6598,
149,WOOL,5,0,2,120,41,21,,13.167,22.5437,
150,WOOL,5,14,16,120,41,21,,13.1303,40.0927,
151,WOOL,5,28,30,120,41,21,,13.0146,46.3792,
152,WOOL,5,48,50,120,41,21,,13.0464,70.7097,
153,WOOL,5,74,76,120,41,21,,13.2243,73.4771,
154,LIZL,1,0,2,60,33,20,,13.3434,72.0036,
155,LIZL,1,14,16,60,33,20,,13.1192,76.9848,
156,LIZL,1,24,26,60,33,20,,13.1089,67.6862,
157,LIZL,4,0,2,60,33,26,,13.2304,36.2781,
158,LIZL,4,14,16,60,33,26,,13.1141,80.0018,
159,LIZL,4,24,26,60,33,26,,13.1464,83.0478,
160,LIZL,5,0,2,60,38,15,,13.1792,53.6307,
161,LIZL,5,14,16,60,38,15,,13.0401,79.0975,
162,LALB,3,0,2,80,33,27,,13.3299,57.2401,
163,LALB,3,14,16,80,33,27,,13.096,56.2661,
164,LALB,3,28,30,80,33,27,,13.1661,73.8326,
165,LALB,3,44,46,80,33,27,,13.0406,72.1688,
166,LALB,4,0,2,74.5,26.5,24,,13.0975,56.3389,
167,LALB,4,14,16,74.5,26.5,24,,13.1709,66.6298,
168,LALB,4,28,30,74.5,26.5,24,,13.065,76.7512,
169,LALB,4,44,46,74.5,26.5,24,,13.3155,63.2248,
170,HEYL,1,0,2,120,57,55,,13.2712,54.8162,
171,HEYL,1,14,16,120,57,55,,12.9613,82.7282,
172,HEYL,1,28,30,120,57,55,,13.1436,81.6006,
173,HEYL,1,48,50,120,57,55,,13.1185,88.9986,
174,HEYL,2,0,2,120,52,51,,13.0916,61.9383,
175,HEYL,2,14,16,120,52,51,,13.0541,86.9367,
176,HEYL,2,28,30,120,52,51,,13.1311,82.2823,
177,HEYL,2,48,50,120,52,51,,13.0901,80.3613,
178,HEYL,2,58,60,120,52,51,,13.1729,88.3379,
179,HEYL,4,0,2,120,58,57,,13.1981,55.5337,
180,HEYL,4,14,16,120,58,57,,13.1843,79.7963,
181,HEYL,4,28,30,120,58,57,,13.3451,78.7538,
182,HEYL,4,48,50,120,58,57,,13.0422,75.5909,
183,HEYL,4,58,60,120,58,57,,13.0297,75.0892,
184,KRAM,2,0,2,120,68,63,,13.1829,41.2495,
185,KRAM,2,14,16,120,68,63,,13.1695,74.4115,
186,KRAM,2,28,30,120,68,63,,13.1372,76.3199,
187,KRAM,2,48,50,120,68,63,,13.2916,85.2281,
188,KRAM,3,0,2,120,72,66,,13.0327,44.8817,
189,KRAM,3,14,16,120,72,66,,13.2888,71.7153,
190,KRAM,3,28,30,120,72,66,,13.0375,73.0927,
191,KRAM,3,47,49,120,72,66,,13.1428,77.8453,
192,KRAM,4,0,2,120,73,65,,13.2756,57.0104,
193,KRAM,4,14,16,120,73,65,,13.0101,72.5231,
194,KRAM,4,28,30,120,73,65,,13.2138,79.1143,
195,KRAM,4,42,44,120,73,65,,13.0956,88.3891,
196,MARG,2,0,2,120,46,19,,13.0646,61.8215,
197,MARG,2,14,16,120,46,19,,12.9991,80.8628,
198,MARG,2,28,30,120,46,19,,12.9746,77.9308,
199,MARG,2,48,50,120,46,19,,12.9984,61.6566,
200,MARG,2,68,70,120,46,19,,13.2218,54.9404,
201,MARG,3,0,2,120,52,21,,13.236,59.6836,
202,MARG,3,14,16,120,52,21,,13.1158,71.2522,
203,MARG,3,28,30,120,52,21,,13.3382,76.2139,
204,MARG,3,48,50,120,52,21,,13.2411,68.1802,
205,MARG,3,58,60,120,52,21,,13.1737,73.2572,
206,MARG,4,0,2,120,64,37,,12.9962,58.5068,
207,MARG,4,14,16,120,64,37,,13.1086,68.833,
208,MARG,4,28,30,120,64,37,,13.1287,59.6052,
209,MARG,4,44,46,120,64,37,,13.1343,84.3189,
210,KNGL,1,0,2,120,63,60,,13.1669,42.5524,
211,KNGL,1,14,16,120,63,60,,12.9595,67.7584,
212,KNGL,1,28,30,120,63,60,,13.1292,68.7397,
213,KNGL,1,48,50,120,63,60,,13.2161,72.089,
214,KNGL,3,0,2,120,61,51,,13.061,33.9739,
215,KNGL,3,14,16,120,61,51,,13.0849,77.5286,
216,KNGL,3,28,30,120,61,51,,13.1799,74.4232,
217,KNGL,3,48,50,120,61,51,,13.1524,86.4716,
218,KNGL,3,58,60,120,61,51,,13.1698,67.4463,
219,KNGL,4,0,2,120,64,54,,13.1278,61.7661,
220,KNGL,4,14,16,120,64,54,,13.1502,83.6948,
221,KNGL,4,28,30,120,64,54,,13.1055,76.5078,
222,KNGL,4,48,50,120,64,54,,13.0492,86.7374,
223,KNGL,4,58,60,120,64,54,,13.0037,73.0406,
224,FRST,1,0,2,120,69,67,,12.9972,44.2582,
225,FRST,1,14,16,120,69,67,,13.0894,53.978,
226,FRST,1,28,30,120,69,67,,13.091,72.3129,
227,FRST,1,48,50,120,69,67,,13.1042,61.1785,
228,FRST,3,0,2,120,75,69,,13.0889,63.287,
229,FRST,3,14,16,120,75,69,,13.2306,71.1472,
230,FRST,3,28,30,120,75,69,,12.964,63.0942,
231,FRST,3,38,40,120,75,69,,13.2037,73.5262,
232,FRST,5,0,2,120,64,62,,13.0298,59.7318,
233,FRST,5,14,16,120,64,62,,13.0951,75.1434,
234,FRST,5,28,30,120,64,62,,13.2052,66.2413,
235,FRST,5,48,50,120,64,62,,13.2239,73.3013,
236,POWL,1,0,2,120,76,69,,13.2007,62.54,
237,POWL,1,14,16,120,76,69,,13.1402,78.0757,
238,POWL,1,28,30,120,76,69,,13.2223,91.259,
239,POWL,1,44,46,120,76,69,,13.1429,84.3307,
240,POWL,4,0,2,120,70,57,,13.1678,39.0068,
241,POWL,4,14,16,120,70,57,,13.0679,78.4215,
242,POWL,4,28,30,120,70,57,,13.2849,79.3092,
243,POWL,4,48,50,120,70,57,,13.0687,75.4516,
244,POWL,5,0,2,120,76,69,,13.2053,42.8306,
245,POWL,5,14,16,120,76,69,,13.0343,70.7766,
246,POWL,5,28,30,120,76,69,,13.1392,79.6708,
247,POWL,5,38,40,120,76,69,,13.1202,80.1477,
248,YAND,1,0,2,120,96,84,,13.0039,42.4816,
249,YAND,1,14,16,120,96,84,,13.3119,49.5068,
250,YAND,1,22,24,120,96,84,,13.0907,65.5531,
251,YAND,4,0,2,120,86,74,,13.0294,48.0793,
252,YAND,4,14,16,120,86,74,,13.2474,49.039,
253,YAND,4,28,30,120,86,74,,13.1805,61.1867,
254,YAND,2,0,2,120,83,74,,13.2244,36.1155,
255,YAND,2,14,16,120,83,74,,13.124,43.846,
256,YAND,2,28,30,120,83,74,,12.9706,61.9177,
257,WAWA,1,0,2,72,39,30,,13.0205,45.3071,
258,WAWA,1,14,16,72,39,30,,13.09,65.1202,
259,WAWA,1,28,30,72,39,30,,13.1248,65.8471,
260,WAWA,2,0,2,77,38.5,28,,13.0959,58.5256,
261,WAWA,2,14,16,77,38.5,28,,13.0219,55.6778,
262,WAWA,2,28,30,77,38.5,28,,13.1877,68.1102,
263,WAWA,2,38,40,77,38.5,28,,13.1215,75.2347,
264,WAWA,5,0,2,66.5,35,25,,13.3265,50.8108,
265,WAWA,5,14,16,66.5,35,25,,13.0865,59.7653,
266,WAWA,5,28,30,66.5,35,25,,13.2361,62.5943,
267,MERR,2,0,2,69,44,42,,13.2523,65.1407,
268,MERR,2,14,16,69,44,42,,13.2107,66.0568,
269,MCLA,1,0,2,120,87,76.5,,13.2065,40.7682,
270,MCLA,1,14,16,120,87,76.5,,13.1359,67.7652,
271,MCLA,1,28,30,120,87,76.5,,13.2295,66.5453,
272,MCLA,2,0,2,120,84,66,,13.0976,32.4122,
273,MCLA,2,14,16,120,84,66,,13.2485,68.7187,
274,MCLA,2,28,30,120,84,66,,13.2868,64.3646,
275,MCLA,5,0,2,120,88,78,,13.0449,30.7792,
276,MCLA,5,14,16,120,88,78,,13.2662,72.8936,
277,MCLA,5,28,30,120,88,78,,13.0988,65.3455,
278,HOLA,2,0,2,150,92,86,,13.0921,29.7655,
279,HOLA,2,14,16,150,92,86,,13.2921,62.1977,
280,HOLA,2,28,30,150,92,86,,13.065,63.6746,
281,HOLA,2,48,50,150,92,86,,13.2098,67.5016,
282,HOLA,1,0,2,150,87,67,,13.3129,50.0974,
283,HOLA,1,14,16,150,87,67,,13.1041,70.5482,
284,HOLA,1,28,30,150,87,67,,13.1491,68.341,
285,HOLA,1,48,50,150,87,67,,12.9521,78.5399,
286,HOLA,1,58,60,150,87,67,,13.0052,68.4042,
287,HOLA,5,0,2,150,91,82,,13.0363,46.6133,
288,HOLA,5,14,16,150,91,82,,13.1098,60.8026,
289,HOLA,5,28,30,150,91,82,,13.1181,61.6329,
290,HOLA,5,48,50,150,91,82,,13.1163,62.877,
291,PUZZ,1,0,2,120,69,46,,13.1029,39.6828,
292,PUZZ,1,14,16,120,69,46,,13.0193,50.3396,
293,PUZZ,1,28,30,120,69,46,,12.974,53.6307,
294,PUZZ,2,0,2,120,83,67,,13.0409,36.495,
295,PUZZ,2,14,16,120,83,67,,13.2079,54.7664,
296,PUZZ,2,28,30,120,83,67,,13.0059,64.4617,
297,PUZZ,4,0,2,60,34,17,,13.097,31.725,
298,PUZZ,4,14,16,60,34,17,,12.9681,58.1603,
299,GBPT4,3,0,2,150,56,25,,13,14.7127,
300,GBPT4,3,14,16,150,56,25,,13,22.7296,
301,GBPT4,3,28,30,150,56,25,,13,20.3593,
302,GBPT4,3,48,50,150,56,25,,13.2437,17.1061,
303,GBPT4,3,68,70,150,56,25,,13.2225,18.4527,
304,GBPT4,4,0,2,150,56.5,36,,13,17.0626,
305,GBPT4,4,14,16,150,56.5,36,,13,19.0158,
306,GBPT4,4,28,30,150,56.5,36,,13,21.7382,
307,GBPT4,4,48,50,150,56.5,36,,13,22.4808,
308,GBPT4,4,74,76,150,56.5,36,,13,22.4235,
309,GBPT4,5,0,2,150,65,51,,13,16.6437,
310,GBPT4,5,14,16,150,65,51,,13,22.423,
311,GBPT4,5,28,30,150,65,51,,13,20.0668,
312,GBPT4,5,48,50,150,65,51,,13,20.37,
313,GBPT4,5,58,60,150,65,51,,13,21.0755,
314,BARA,1,0,2,120,44,20,,13.0972,28.3996,
315,BARA,1,14,16,120,44,20,,12.9993,59.3174,
316,BARA,1,28,30,120,44,20,,13.2091,70.3642,
317,BARA,1,48,50,120,44,20,,13.1139,70.1577,
318,BARA,1,74,76,120,44,20,,13.1178,64.8974,
319,CHAP,3,0,2,120,69,57,,13.13,32.093,
320,CHAP,3,14,16,120,69,57,,13.2152,55.8232,
321,CHAP,3,28,30,120,69,57,,13.1162,68.9427,
322,CHAP,3,48,50,120,69,57,,13.0762,73.3031,
323,CHAP,4,0,2,120,69,57,,13.1123,31.9486,
324,CHAP,4,14,16,120,69,57,,13.2118,61.4967,
325,CHAP,4,28,30,120,69,57,,13.1318,71.4788,
326,CHAP,4,48,50,120,69,57,,13.0648,67.4453,
327,CHAP,5,0,2,120,72,52,,13.1162,31.7263,
328,CHAP,5,14,16,120,72,52,,13.3248,60.784,
329,CHAP,5,28,30,120,72,52,,13.143,70.3371,
330,CHAP,5,48,50,120,72,52,,13.1435,78.5133,
331,ASHM,1,0,2,150,98,90,,13.0111,34.6802,
332,ASHM,1,14,16,150,98,90,,13.1088,68.7725,
333,ASHM,1,28,30,150,98,90,,13.1068,71.6427,
334,ASHM,1,48,50,150,98,90,,13.0285,75.2028,
335,ASHM,2,0,2,150,97,91,,12.9882,33.4258,
336,ASHM,2,14,16,150,97,91,,13.0246,67.7765,
337,ASHM,2,28,30,150,97,91,,13.2828,72.2831,
338,ASHM,2,48,50,150,97,91,,13.1336,72.2927,
339,ASHM,3,0,2,150,99,89,,13.2025,28.6129,
340,ASHM,3,14,16,150,99,89,,13.0307,63.8827,
341,ASHM,3,28,30,150,99,89,,13.0035,76.008,
342,ASHM,3,48,50,150,99,89,,13.0628,77.2018,
343,BARA,2,0,2,120,48,48,,13.0394,28.8007,
344,BARA,2,14,16,120,48,48,,13.1284,63.722,
345,BARA,2,28,30,120,48,48,,13.3026,74.7037,
346,BARA,2,48,50,120,48,48,,13.9526,72.8901,
347,BARA,2,68,70,120,48,48,,13.1496,64.4544,
348,BARA,5,0,2,120,47,31,,13.0568,32.4456,
349,BARA,5,14,16,120,47,31,,12.9841,88.0301,
350,BARA,5,28,30,120,47,31,,13.1015,62.831,
351,BARA,5,48,50,120,47,31,,13.2271,66.618,
352,WINT,1,0,2,150,107,86,,13.2836,32.5532,
353,WINT,1,14,16,150,107,86,,13.2045,65.9868,
354,WINT,1,28,30,150,107,86,,13.1277,65.2212,
355,WINT,1,38,40,150,107,86,,13.1026,67.2365,
356,WINT,2,0,2,150,119,96,,13.0991,33.288,
357,WINT,2,14,16,150,119,96,,13.2193,71.5473,
358,WINT,2,28,30,150,119,96,,13.0951,72.5686,
359,WINT,3,0,2,150,120,112,,13.076,51.0882,
360,WINT,3,14,16,150,120,112,,13.2931,75.2659,
361,WINT,3,28,30,150,120,112,,13.0876,62.0042,
362,RICH,2,0,2,150,90.5,75,,13.2911,42.8501,
363,RICH,2,14,16,150,90.5,75,,13.28,64.3841,
364,RICH,2,28,30,150,90.5,75,,13.1447,59.7868,
365,RICH,2,44,46,150,90.5,75,,13.0339,72.4753,
366,RICH,4,0,2,120,57.5,45.5,,13.2915,56.1941,
367,RICH,4,14,16,120,57.5,45.5,,13.1063,63.8603,
368,RICH,4,28,30,120,57.5,45.5,,13.323,59.5513,
369,RICH,4,48,50,120,57.5,45.5,,13.2468,62.6025,
370,RICH,4,58,60,120,57.5,45.5,,13.1772,59.1421,
371,RICH,5,0,2,120,43,26,,13.245,36.4504,
372,RICH,5,14,16,120,43,26,,13.1456,71.048,
373,RICH,5,28,30,120,43,26,,13.0089,61.0404,
374,RICH,5,48,50,120,43,26,,13.1444,60.7551,
375,RICH,5,74,76,120,43,26,,13.0839,61.8351,
376,PURR,1,0,2,120,41,9,,13.1776,15.6563,
377,PURR,1,14,16,120,41,9,,13.3278,19.8966,
378,PURR,1,28,30,120,41,9,,13.0552,20.1224,
379,PURR,1,48,50,120,41,9,,13.1616,24.91,
380,PURR,1,72,74,120,41,9,,13.0732,38.2257,
381,PURR,3,0,2,120,40,4,,13.1556,15.7151,
382,PURR,3,14,16,120,40,4,,13.0645,20.4802,
383,PURR,3,28,30,120,40,4,,13.2804,21.5858,
384,PURR,3,48,50,120,40,4,,13.0471,34.4132,
385,PURR,3,74,76,120,40,4,,13.35,42.102,
386,PURR,5,0,2,120,38,23,,13.1253,17.3839,
387,PURR,5,14,16,120,38,23,,13.1262,29.5756,
388,PURR,5,28,30,120,38,23,,13.1438,20.9287,
389,PURR,5,48,50,120,38,23,,13.0892,22.2281,
390,PURR,5,74,76,120,38,23,,13.1735,31.5107,
391,WHYT,1,0,2,120,82,61,,13.0657,24.1684,
392,WHYT,1,14,16,120,82,61,,13.0941,56.7014,
393,WHYT,1,28,30,120,82,61,,13.031,58.6853,
394,WHYT,2,0,2,120,71,51,,13.22,30.5818,
395,WHYT,2,14,16,120,71,51,,13.0819,64.3785,
396,WHYT,2,28,30,120,71,51,,13.2902,59.2868,
397,WHYT,2,48,50,120,71,51,,13.0622,67.6353,
398,WHYT,3,0,2,120,80,49,,13.1448,28.1272,
399,WHYT,3,14,16,120,80,49,,13.265,56.2609,
400,WHYT,3,28,30,120,80,49,,13.3021,61.462,
401,BRAD,2,0,2,120,50,32,,13.0227,31.2684,
402,BRAD,2,14,16,120,50,32,,13.184,73.8453,
403,BRAD,2,28,30,120,50,32,,13.3066,77.7413,
404,BRAD,2,48,50,120,50,32,,12.9965,73.5421,
405,BRAD,2,66,68,120,50,32,,13.1106,68.5004,
406,BRAD,4,0,2,120,50,15,,13.1911,24.7591,
407,BRAD,4,14,16,120,50,15,,13.1958,77.7686,
408,BRAD,4,28,30,120,50,15,,13.0939,82.8757,
409,BRAD,4,48,50,120,50,15,,13.0059,75.7673,
410,BRAD,4,66,68,120,50,15,,13.1372,64.1142,
411,BRAD,5,0,2,120,50,22,,13.0665,22.5054,
412,BRAD,5,14,16,120,50,22,,13.1254,73.0944,
413,BRAD,5,28,30,120,50,22,,13.0465,76.2864,
414,BRAD,5,48,50,120,50,22,,13.0061,78.3151,
415,BRAD,5,66,68,120,50,22,,13.0116,73.9422,
416,RESW,1,0,2,120,60,53,,13.1042,42.0589,
417,RESW,1,14,16,120,60,53,,13.0172,51.1797,
418,RESW,1,28,30,120,60,53,,13.0851,74.8265,
419,RESW,1,46,48,120,60,53,,13.084,70.9559,
420,RESW,3,0,2,120,65,46,,13.1023,20.5137,
421,RESW,3,14,16,120,65,46,,13.0446,59.1172,
422,RESW,3,28,30,120,65,46,,12.9936,65.4029,
423,RESW,3,48,50,120,65,46,,13.1171,65.6744,
424,RESW,5,0,2,120,71,61,,13.2006,33.2938,
425,RESW,5,14,16,120,71,61,,13.0933,60.0832,
426,RESW,5,28,30,120,71,61,,13.1253,65.9585,
427,RESW,5,46,48,120,71,61,,13.0785,66.2776,
428,GHER,3,0,2,30,12,9,,13.1424,23.8433,
429,GHER,3,14,16,30,12,9,,13.0252,73.3994,
430,GHER,2,0,2,150,130,127,,13.1917,25.2356,
431,GHER,2,14,16,150,130,127,,13.1559,64.0014,
432,GHER,1,0,2,150,124,118,,13.0223,24.1752,
433,GHER,1,14,16,150,124,118,,13.2932,55.4005,
434,GHER,1,24,26,150,124,118,,13.0643,54.9923,
435,ELIN,1,0,2,120,38,13,,13.2034,20.9847,
436,ELIN,1,14,16,120,38,13,,13.1237,20.3842,
437,ELIN,1,28,30,120,38,13,,13.1541,17.1924,
438,ELIN,1,48,50,120,38,13,,12.9608,17.0382,
439,ELIN,1,58,60,120,38,13,,13.1788,19.9633,
440,ELIN,3,0,2,120,37,5,,13,15.5506,
441,ELIN,3,14,16,120,37,5,,13.1055,18.6614,
442,ELIN,3,28,30,120,37,5,,13.0385,20.7732,
443,ELIN,3,48,50,120,37,5,,13.0284,17.407,
444,ELIN,3,58,60,120,37,5,,13.107,22.5286,
445,ELIN,4,0,2,120,43,7,,13.1235,17.7932,
446,ELIN,4,14,16,120,43,7,,12.9573,22.1931,
447,ELIN,4,28,30,120,43,7,,13.1382,21.1199,
448,ELIN,4,48,50,120,43,7,,12.9543,19.0093,
